lat,lon,co,no,no2,o3,so2,pm2_5,pm10,nh3
17.186038218749438,78.37374260532218,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.186038218749438,78.38315572154534,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.186038218749438,78.39256883776848,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.186038218749438,78.40198195399164,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.41139507021478,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.42080818643794,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.4302213026611,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.43963441888424,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.4490475351074,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.45846065133054,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.4678737675537,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.47728688377684,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.4867,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.49611311622316,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.5055262324463,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.51493934866946,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.5243524648926,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.53376558111576,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.5431786973389,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.55259181356206,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.56200492978522,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.57141804600836,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.58083116223152,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.59024427845466,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.59965739467782,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.186038218749438,78.60907051090098,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.186038218749438,78.61848362712412,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.186038218749438,78.62789674334728,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.186038218749438,78.63730985957042,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.186038218749438,78.64672297579358,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.186038218749438,78.65613609201672,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.186038218749438,78.66554920823988,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.186038218749438,78.67496232446304,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.28902455931382,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.29843767553696,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.30785079176012,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.31726390798327,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.32667702420642,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.33609014042958,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.34550325665272,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.35491637287588,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.36432948909902,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.37374260532218,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.38315572154534,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.39256883776848,95.1,0,4.11,44.52,3.6,1.13,2.02,3.02
17.195081936079006,78.40198195399164,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.41139507021478,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.42080818643794,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.4302213026611,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.43963441888424,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.4490475351074,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.45846065133054,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.4678737675537,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.47728688377684,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.4867,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.49611311622316,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.5055262324463,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
